{timestamp: 2018-11-29T06:36:31.179Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:36:31.184Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:41:15.275Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:41:15.318Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:49:25.772Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:51:15.229Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:52:02.873Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:13:33.526Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:15:23.910Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:16:18.472Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:16:22.159Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:26:32.083Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:26:59.716Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:27:09.885Z, level: error, message: _service2.default.create is not a function}
{timestamp: 2018-11-29T07:28:08.731Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:28:13.842Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:28:42.042Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:28:44.376Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:30:04.229Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:30:39.513Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:31:25.609Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:32:03.528Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:32:09.531Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:32:54.760Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:35:09.342Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:35:22.022Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:35:29.499Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:38:08.880Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:38:23.423Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T08:29:25.409Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T08:30:45.907Z, level: info, message: server started on port 4040 (development)}
